seq,mean,std,count
25-25-25-25-25-25-25-25-25-25-25-25-25-25-25-25-25-25,7.519833450608974,0.1655022518953594,31
25-30,5.368803430578991,0.19815734830218593,32
28,4.911403978109558,0.7791936907151018,3917
28-28,5.931158609115264,0.6500930622621652,965
28-28-28,6.242570038792365,0.5608724362588559,635
28-28-28-28,6.469023457457507,0.5008885023631875,453
28-28-28-28-28,6.668420565286697,0.4518357478121506,324
28-28-28-28-28-28,6.813761141078277,0.41107542795209223,249
28-28-28-28-28-28-28,6.934581203643526,0.3824435872803503,194
28-28-28-28-28-28-28-28,7.026288470197695,0.3627983950935152,158
28-28-28-28-28-28-28-28-28,7.1044610867220275,0.3468021397619405,131
28-28-28-28-28-28-28-28-28-28,7.181320078985027,0.3308258577848251,108
28-28-28-28-28-28-28-28-28-28-28,7.26147357171419,0.31161385623254334,88
28-28-28-28-28-28-28-28-28-28-28-28,7.333874427423769,0.29593213637118965,72
28-28-28-28-28-28-28-28-28-28-28-28-28,7.397731884829914,0.2810413431717165,60
28-28-28-28-28-28-28-28-28-28-28-28-28-28,7.4549243229597915,0.2642898983630628,51
28-28-28-28-28-28-28-28-28-28-28-28-28-28-28,7.504952781294781,0.24710890563793328,44
28-28-28-28-28-28-28-28-28-28-28-28-28-28-28-28,7.5537472710456,0.22770938587773024,38
28-28-28-28-28-28-28-28-28-28-28-28-28-28-28-28-28,7.5976640057464815,0.20918842180868782,33
28-29,6.11637546974406,0.28833484242640134,36
28-29-47,5.7069651837048205,0.15396330745021164,33
29,6.049137005048304,0.5964611451122487,2025
29-1,5.330907989922967,0.18067757326988487,88
29-31,5.684232325107611,0.13898768388866325,111
29-33,5.490119929709947,0.1141183465965934,64
29-42,6.112405428780303,0.6091456802061365,33
29-44,5.46496864177055,0.18173752050599928,96
29-46,5.478252345904958,0.14259986716800435,217
29-47,5.403180707835786,0.24326403253997675,326
29-48,5.423886735444037,0.14962196294481753,30
29-57416,5.398724891340038,0.2423240144955957,44
29-57424,5.385480825720239,0.2060646785279889,60
3,4.665731899591872,0.33546557620338,242
30,5.2525686284251085,0.7719705156610177,3515
30-19,5.476046868312818,0.3674980007505661,48
30-20,5.368445547626225,0.14449840384699703,75
30-30,5.955453126210647,0.5883268255240779,1556
30-30-30,6.206325698132664,0.47186616188876085,1135
30-30-30-30,6.384169521109018,0.405163617008837,847
30-30-30-30-30,6.53406797301608,0.35366393761087583,629
30-30-30-30-30-30,6.661075143874495,0.3162039041813216,466
30-30-30-30-30-30-30,6.776985265223089,0.2798663589181851,343
30-30-30-30-30-30-30-30,6.874079336815957,0.24988549987964292,256
30-30-30-30-30-30-30-30-30,6.958717590547804,0.22393729063568063,192
30-30-30-30-30-30-30-30-30-30,7.03403195526164,0.2043578743134512,142
30-30-30-30-30-30-30-30-30-30-30,7.103162779711127,0.18425124020615086,105
30-30-30-30-30-30-30-30-30-30-30-30,7.157244976361788,0.16683433570756678,80
30-30-30-30-30-30-30-30-30-30-30-30-30,7.2067669971278985,0.15324562747859297,59
30-30-30-30-30-30-30-30-30-30-30-30-30-30,7.25251654640318,0.1428439689067916,44
30-30-30-30-30-30-30-30-30-30-30-30-30-30-30,7.291212059033322,0.1302760883507848,34
30-31,5.423785906353887,0.1487621617667103,74
30-31-57,5.635117045667391,0.11002199186400163,40
30-38,5.314128152555644,0.22081866818547807,75
30-46,5.352287365761152,0.13464015018114756,46
30-49,5.336122270784184,0.16688462358901915,145
30-49-32,5.679190053938703,0.11075291184591893,63
30-49-32-57,5.850216253081972,0.08553301858293551,52
30-57,5.3473984942363515,0.11066141782254131,38
31,5.358479907973964,0.7853604811441839,4256
31-18,5.424578899979703,0.19373801764951684,70
31-20,5.35363728310974,0.14069369428561404,64
31-22,5.354856908565014,0.29832116296769373,51
31-23,5.334412194479887,0.16675295364461748,47
31-24,5.217199511064444,0.2450524666904196,44
31-25,5.368915368984404,0.20220829410271665,37
31-31,5.957849807023032,0.5702987289477347,2195
31-31-31,6.217133502602965,0.4748957992781343,1532
31-31-31-31,6.397903665243759,0.4095075303066558,1134
31-31-31-31-31,6.554027495814773,0.3508977703004855,838
31-31-31-31-31-31,6.679128264770955,0.3070787817993424,628
31-31-31-31-31-31-31,6.782292643289434,0.2742771788123093,474
31-31-31-31-31-31-31-31,6.874586835930907,0.24326302259413937,357
31-31-31-31-31-31-31-31-31,6.962532318252591,0.2112837086090184,264
31-31-31-31-31-31-31-31-31-31,7.03029900094184,0.18972685990020066,199
31-31-31-31-31-31-31-31-31-31-31,7.0938898274350635,0.17237222395297103,145
31-31-31-31-31-31-31-31-31-31-31-31,7.154691303753775,0.15337410807742932,105
31-31-31-31-31-31-31-31-31-31-31-31-31,7.207440195785185,0.13641973326823742,76
31-31-31-31-31-31-31-31-31-31-31-31-31-31,7.259327079143367,0.11910644494161278,53
31-31-31-31-31-31-31-31-31-31-31-31-31-31-31,7.3030351175385055,0.10285672105862452,37
31-35,5.239161999727729,0.1868513638757573,35
31-49,5.722329260582662,0.14301195613490014,32
31-57,5.276914672051141,0.14095077485795438,78
32,5.124511274374402,0.8653232804119715,2022
32-23,5.2890989864957705,0.17611302636109247,63
32-24,5.328521616020357,0.1568906812931148,49
32-32,5.976163045401579,0.7017778528809564,793
32-32-32,6.29670629729774,0.5819785019706228,546
32-32-32-32,6.4864404077766995,0.5115368625777938,418
32-32-32-32-32,6.634723246874805,0.46130909186044583,325
32-32-32-32-32-32,6.755480922080893,0.4294269284634426,252
32-32-32-32-32-32-32,6.860094717761913,0.40069024697581007,196
32-32-32-32-32-32-32-32,6.944563970445426,0.3737091769570686,155
32-32-32-32-32-32-32-32-32,7.018311356497376,0.34863860017961446,121
32-32-32-32-32-32-32-32-32-32,7.084687527128805,0.3150342234455123,94
32-32-32-32-32-32-32-32-32-32-32,7.145498072964273,0.2696417775754162,71
32-32-32-32-32-32-32-32-32-32-32-32,7.189620364172666,0.19268511502203492,53
32-32-32-32-32-32-32-32-32-32-32-32-32,7.251295887021256,0.17011318371398496,41
32-32-32-32-32-32-32-32-32-32-32-32-32-32,7.30353378074531,0.15855054523292997,31
32-57,5.124095983865989,0.21923046999720194,222
32-57-20,5.5597300080606775,0.22758396674652437,40
32-57-20-24,5.902776318597104,0.10670929230662743,30
32-57-20-24-57,6.06223192934004,0.20916141145013295,30
33,5.115740701837954,0.8297315278617782,1222
33-23,5.340623765498493,0.19129076209029747,49
33-24,5.290520851920131,0.13736040846843256,67
33-24-19,5.627333253610105,0.10869832663570216,54
33-24-19-57,5.813141743255987,0.09133489895406886,41
33-30,5.36294016393737,0.17449161460896676,73
33-30-46,5.8170592950065485,0.13294984946212862,52
33-30-46-18,6.073351278938304,0.07800417188375143,31
33-33,5.993568077901888,0.6161304372854891,460
33-33-33,6.243574347233557,0.5100130907487497,340
33-33-33-33,6.423211656074685,0.43029701483180477,263
33-33-33-33-33,6.56020538934551,0.37532911357853677,207
33-33-33-33-33-33,6.683545589317971,0.33282391476934453,160
33-33-33-33-33-33-33,6.789215843192676,0.29843802489493126,124
33-33-33-33-33-33-33-33,6.883898420701907,0.2673052511676378,96
33-33-33-33-33-33-33-33-33,6.963033242325253,0.23998444637181998,76
33-33-33-33-33-33-33-33-33-33,7.03344763495896,0.221521127232184,59
33-33-33-33-33-33-33-33-33-33-33,7.09336296442211,0.2040522489640295,47
33-33-33-33-33-33-33-33-33-33-33-33,7.150275542824284,0.18769386044755262,37
34,5.228985564928341,0.8859418474994972,1060
34-18,5.491016565384252,0.13949253492547387,47
34-23,5.447822267206208,0.18117389427292685,32
34-24,5.262626245764445,0.2147163952886622,44
34-34,5.983971291748992,0.6278410530330666,511
34-34-34,6.208788387233168,0.5296772689909051,393
34-34-34-34,6.393578021292443,0.45651773605202717,302
34-34-34-34-34,6.551158426213129,0.4082164695689326,228
34-34-34-34-34-34,6.690050345130745,0.375051642185157,170
34-34-34-34-34-34-34,6.826399252381028,0.3456008316538903,124
34-34-34-34-34-34-34-34,6.946542172922935,0.3177703986340787,92
34-34-34-34-34-34-34-34-34,7.05437671386241,0.29008120555598904,69
34-34-34-34-34-34-34-34-34-34,7.131056935222672,0.2712100132847157,55
34-34-34-34-34-34-34-34-34-34-34,7.213882507377319,0.25400267849625624,42
34-34-34-34-34-34-34-34-34-34-34-34,7.286424628856969,0.23374302145251916,33
35,5.183555040618309,0.7682352295931234,1315
35-18,5.308188748110375,0.2003319226982312,109
35-18-57,5.58208987904138,0.10813225803281733,34
35-23,5.491578338677142,0.14319486482761817,51
35-24,5.40130833495849,0.19494484940729354,45
35-30,5.269287831916697,0.17020810598604832,117
35-30-20,5.572501124090033,0.1302792909339513,33
35-35,5.926483002224839,0.5870017231224491,531
35-35-35,6.182161628488563,0.4584744063075892,387
35-35-35-35,6.3674615469684674,0.3930266288356507,281
35-35-35-35-35,6.52229746879656,0.3436735313263128,204
35-35-35-35-35-35,6.648272075158311,0.3049685948364397,151
35-35-35-35-35-35-35,6.770195728156075,0.2642246543584958,109
35-35-35-35-35-35-35-35,6.867659382415896,0.23715087506847685,80
35-35-35-35-35-35-35-35-35,6.945282541078392,0.2250348389355796,59
35-35-35-35-35-35-35-35-35-35,7.022683305469776,0.216602072895777,42
35-35-35-35-35-35-35-35-35-35-35,7.094595835349823,0.21112137581708307,30
36,4.95493275032748,0.6138621196218023,153
36-36,5.7461019569217155,0.4489402484657408,42
3638,5.850006251016369,0.6543779925605457,3099
3638-11,5.342595420895356,0.1414631403377645,46
3638-17,5.301397174454222,0.1730793911846138,42
3638-18,5.276921037575141,0.18811550530183604,33
3638-19,5.312596454525201,0.16349275358943705,33
3638-20,5.300731209646385,0.1857390341472012,82
3638-23,5.582312332196203,0.08488736399908577,59
3638-23-57,5.768818972224309,0.09814113880912327,33
3638-30,5.321459627586295,0.30812660223056515,109
3638-31,5.228012547811368,0.24809545812130485,87
3638-32,5.305174559872309,0.2720091507593096,48
3638-3638,6.422482574782186,0.4887047463247256,411
3638-3638-3638,6.580168606619764,0.4305336132343686,257
3638-3638-3638-3638,6.7128285768515985,0.3729774134245987,164
3638-3638-3638-3638-3638,6.851524675714446,0.2901712346195843,104
3638-3638-3638-3638-3638-3638,6.972561261444164,0.2305108195010274,66
3638-3638-3638-3638-3638-3638-3638,7.04408713849775,0.19485299607885087,45
3638-46,5.325117228220559,0.16518093406343815,68
3667,4.640766265912622,0.5928480184032178,510
3667-3667,5.712421884891834,0.4927413015544962,68
3667-3667-3667,6.074855317631651,0.33320758647526627,45
3667-3667-3667-3667,6.315753254743914,0.22936663492060594,30
37,5.39217834099,0.8591555266743597,860
37-18,5.250908492387083,0.18945172492437662,79
37-37,6.049320841833513,0.6145629516101119,457
37-37-37,6.297595990181772,0.4929268035078106,341
37-37-37-37,6.483061731817168,0.4089123361879719,258
37-37-37-37-37,6.600952754172874,0.35165297468632273,210
37-37-37-37-37-37,6.704686718262776,0.30660869697227244,169
37-37-37-37-37-37-37,6.797370511922155,0.27110432424279346,134
37-37-37-37-37-37-37-37,6.88071012016549,0.2447822253663725,104
37-37-37-37-37-37-37-37-37,6.962675511969422,0.2184650389646192,79
37-37-37-37-37-37-37-37-37-37,7.038698072802525,0.19646868381966676,59
37-37-37-37-37-37-37-37-37-37-37,7.107892869962356,0.18164660717890546,43
37-37-37-37-37-37-37-37-37-37-37-37,7.171459342612271,0.16901921386670854,31
38,5.141430121177813,0.7914831796643533,2345
38-18,5.3289580740187725,0.2304378272648736,190
38-23,5.395893175677347,0.1503553683561129,92
38-30,5.264134950291219,0.20562900043812687,99
38-31,5.282601275801851,0.11919223534954757,30
38-38,5.85877452037313,0.5471653692104338,1084
38-38-38,6.176338017425627,0.47043438547376226,653
38-38-38-38,6.383525496030408,0.4172384411780359,447
38-38-38-38-38,6.548194015865331,0.382382193251852,315
38-38-38-38-38-38,6.693182234339724,0.3553761713456002,224
38-38-38-38-38-38-38,6.81805617288816,0.3365410958952322,162
38-38-38-38-38-38-38-38,6.9321993173753045,0.32135350453226885,118
38-38-38-38-38-38-38-38-38,7.042000395507481,0.3108879985933694,85
