seq,mean_x,std_x,count_x,mean_y,std_y,count_y,pvalue
R-E,5.211941387109415,0.2029260897404887,359,5.129100728168288,0.25123101486352956,204,7.039937658928515e-05
R-I,5.083135680771659,0.23192744769628437,116,5.038335894823046,0.14630518025232198,55,0.12705796827245425
R-O,5.1405319072071105,0.20879894058677445,84,5.07917294608329,0.22068412320060463,107,0.05082690499578719
R-SPACE,5.190636012415461,0.23929950541340003,224,5.112613932155169,0.14275320596077454,100,0.0003215546828924934
R-Y,4.828483615724364,0.7155874241298462,64,5.040025362082679,0.13140999921437005,23,0.02670269021072011
S-A,6.174388811326024,0.8225181355311939,335,5.278371835317137,0.615239651897134,30,6.0289363687889545e-09
S-E,5.295924781497112,0.22248149961907956,188,5.278968251444663,0.30023782162933876,77,0.6551775573936367
S-H,4.9994211633194,0.1698188705352628,139,5.135850744388705,0.24707664432994328,43,0.0013329540351684581
S-I,5.0625970378613605,0.21556235245958644,60,5.0693648436882395,0.2923994174489037,41,0.8996608167416508
S-O,5.118116708583468,0.25013616704279285,83,5.107957248232328,0.2522301249967417,64,0.8083711082802347
S-SPACE,5.246098999130643,0.259152887013988,881,5.101468097905704,0.16331805049742873,225,4.2475486411025315e-23
S-U,5.131889334484406,0.13384675277014743,57,4.968588829673858,0.176474360315,35,1.6160517303361823e-05
SHIFT-CONTROL,6.466277090254123,0.8313244188781721,31,6.960661722545296,0.9243915070317565,72,0.009517045345932805
SPACE-A,6.08896412463197,0.8976621184745723,610,5.150851684915802,0.17228109891617951,98,5.610216386168592e-89
SPACE-D,6.171871581076735,0.8389624777786079,178,5.05974914940888,0.2855500860971289,21,6.423990400783385e-20
SPACE-F,5.169090591912264,0.17018441550002045,41,5.107848856254764,0.2699906261122217,20,0.3615364661644551
SPACE-I,5.066675833333638,0.22408352990251454,79,5.149340580925287,0.14553211544276884,55,0.010755358823667231
SPACE-S,5.881918794501528,0.9355511365884722,164,5.150320747735405,0.19718055558891262,32,1.6745579505193442e-16
SPACE-SHIFT,5.3684859169278605,0.20233117094524178,33,5.8981675687050785,0.5303159992854469,158,5.170347667826154e-17
SPACE-T,5.093462765473766,0.1475791761963635,200,5.087190446848325,0.22566813053612583,79,0.8197039812181701
SPACE-W,5.918474223480778,1.0481533057560892,186,5.165647199333187,0.1682418484199469,33,4.253319539376629e-17
T-E,5.234523767139858,0.12155769975183511,137,5.183140744147176,0.17064145431595582,112,0.008013271745712645
T-H,5.028006245976982,0.20850739873934906,403,5.026366272938959,0.16670485130718335,300,0.907832658268779
T-H-E,5.496626863714216,0.14288278148865602,33,5.469097629283384,0.10875044782819,51,0.3492910938206857
T-H-E-SPACE,5.721981265722203,0.15363152853861842,59,5.707962036280281,0.10115164373469751,55,0.563816137047257
T-I,5.08760317302213,0.23810934676126722,96,5.073348246109191,0.23150254751334118,108,0.6659214164791061
T-I-O-N,5.707792180141668,0.13401089620502793,76,5.645496400108496,0.1509736178581229,81,0.006908851510899974
T-O,5.056547937230478,0.217355241816798,184,5.084052959098707,0.19646059025607782,164,0.2158557017220329
T-O-SPACE,5.499498156446009,0.10379510057859581,57,5.448180980515278,0.12209648686995142,171,0.0025429471017791526
T-SPACE,5.228283136948154,0.12077226048796437,621,5.117273266622216,0.15831188892167783,308,1.0895421156219044e-24
T-U,5.11669736702565,0.14825517987047462,64,5.034652147911639,0.12948226166061017,20,0.022387767568542858
U-C,5.114796982808638,0.16760293620366892,59,5.098256393429393,0.1349145950443166,24,0.6397540637051062
U-N,5.259766270642182,0.14563975057994322,120,5.1438008036774425,0.153180035607503,53,1.030398201710774e-05
U-R,5.022246076565703,0.2145082156111653,86,5.055270837861383,0.17353322755278303,45,0.3434113319439972
U-S,4.98377452232857,0.19224534066699744,192,5.087861397089942,0.1665485765794106,91,5.553226528343523e-06
U-SPACE,5.168963062982753,0.27173015344573276,30,4.971839037145212,0.19382581684689074,38,0.0015063480753045283
U-T,5.009319696051563,0.20334886253527004,107,5.082500083021948,0.17227172013411365,47,0.023839608219362107
V-E,5.402505114830185,0.25149170878169597,184,5.191949550453448,0.19873981100645138,102,1.7984334898427344e-13
V-I,5.14705695273083,0.19064061196260923,31,5.098503623083019,0.1258845146670609,31,0.24206492998318527
W-E,5.224782729175741,0.24050151141413648,365,5.222263642635908,0.21597572344555876,65,0.9323557612305684
W-H,5.059528539420329,0.19126189140773647,90,5.057790704379021,0.1714283086469629,28,0.9638566879123898
W-I,4.978754358955226,0.18700495758510627,71,4.986986359781807,0.1495169645428034,71,0.7724902126415278
W-O,5.092578644478487,0.2512524443361082,30,5.0147013337345205,0.18750024629855294,41,0.15849818505015875
W-SPACE,5.365249752808952,0.3889231708112798,345,5.1317749906123655,0.17002766416720977,32,1.969512780352794e-08
Y-E,5.101812130324984,0.2341227261015749,32,5.040657502503169,0.22984746727860325,25,0.3273909259407477
Y-O,5.30377721714367,0.12212462841232966,31,5.266385407210121,0.18143701544691027,21,0.4148326515457359
Y-SPACE,5.217805243287206,0.12079836929458597,356,5.15081541034275,0.13605500298474094,164,1.3995532432704114e-07
