,actual,predictions
0,0,0.008941056
1,0,0.0069538075
2,0,0.008928717
3,0,0.0069001317
4,0,0.00821496
5,0,0.0075473166
6,0,0.0044761286
7,0,0.0027293828
8,0,0.0024303047
9,0,0.0026850915
10,0,0.0027386136
11,0,0.0027065186
12,0,0.00280508
13,0,0.0028851577
14,0,0.0028066733
15,0,0.0028925498
16,0,0.002779878
17,0,0.0025162676
18,0,0.0026283895
19,0,0.0021512737
20,0,0.0021223319
21,0,0.0023565984
22,0,0.00230994
23,0,0.0022873017
24,0,0.0026742902
25,0,0.0029733838
26,0,0.0026830672
27,0,0.0027322788
28,0,0.0026442495
29,0,0.0023525232
30,0,0.0022862963
31,0,0.002266881
32,0,0.0022376156
33,0,0.0017143552
34,0,0.0018153174
35,0,0.0023516505
36,0,0.002240944
37,0,0.002550228
38,0,0.0020755287
39,0,0.0020752065
40,0,0.0015914183
41,0,0.0016412148
42,0,0.001390744
43,0,0.0013082355
44,0,0.0011621952
45,0,0.0011181724
46,0,0.0009878756
47,0,0.0009634382
48,0,0.00084425375
49,0,0.0006941712
50,0,0.00093935034
51,0,0.000948277
52,0,0.0010648562
53,0,0.0015262798
54,0,0.0015996037
55,0,0.0015739166
56,0,0.0016082628
57,0,0.0016357625
58,0,0.0018923574
59,0,0.0021022183
60,0,0.0020480189
61,0,0.0021796527
62,0,0.0025985194
63,0,0.002262681
64,0,0.0022968124
65,0,0.002349146
66,0,0.0026643176
67,0,0.0027052858
68,0,0.0033173475
69,0,0.0037280472
70,0,0.004551812
71,0,0.004249358
72,0,0.005203473
73,0,0.0055945977
74,0,0.0059155985
75,0,0.0062547657
76,0,0.006611678
77,0,0.009899008
78,0,0.01065229
79,0,0.023564763
80,0,0.025228677
81,0,0.023842562
82,0,0.022383654
83,0,0.022503903
84,0,0.022988308
85,0,0.02693081
86,0,0.032586053
87,0,0.030899841
88,0,0.0023498926
89,0,0.0023432528
90,0,0.0027002706
91,0,0.0026297271
92,0,0.0024021342
93,0,0.002587241
94,0,0.0013753754
95,0,0.0017343335
96,0,0.0015477601
97,0,0.0015059285
98,0,0.0017233915
99,0,0.0019621723
100,0,0.003099616
101,0,0.003085251
102,0,0.0020163832
103,0,0.0023608308
104,0,0.0017072603
105,0,0.0015282212
106,0,0.0012585297
107,0,0.0010860582
108,0,0.0012312469
109,0,0.0012743517
110,0,0.0013214609
111,0,0.0012245383
112,0,0.0011311475
113,0,0.0010448418
114,0,0.00096746796
115,0,0.0017560516
116,0,0.0018554053
117,0,0.0017991011
118,0,0.0017575333
119,0,0.0017202212
120,0,0.0016864014
121,0,0.0014230852
122,0,0.0014379354
123,0,0.0014379354
124,0,0.0016144273
125,0,0.0020110875
126,0,0.0019125084
127,0,0.001955596
128,0,0.0020688728
129,0,0.0020625424
130,0,0.0020642863
131,0,0.0020772952
132,0,0.0020692882
133,0,0.0023117056
134,0,0.0032102237
135,0,0.0027626099
136,0,0.002936596
137,0,0.0031996884
138,0,0.008915124
139,0,0.009283675
140,0,0.010756939
141,0,0.012242579
142,0,0.012898004
143,0,0.015448235
144,0,0.016344145
145,0,0.015448395
146,0,0.020083385
147,0,0.019277947
148,0,0.017605081
149,0,0.015584767
150,0,0.017342787
151,0,0.018538682
152,0,0.01986815
153,0,0.018066188
154,0,0.014418442
155,0,0.012496906
156,0,0.013752433
157,0,0.0153745925
158,0,0.015259968
159,0,0.012274345
160,0,0.01231851
161,0,0.012288076
162,0,0.015482519
163,0,0.009630714
164,0,0.011536075
165,0,0.011536075
166,0,0.00929073
167,0,0.008291661
168,0,0.008324183
169,0,0.008391755
170,0,0.011063434
171,0,0.011343459
172,0,0.011367688
173,0,0.011040283
174,0,0.0108134905
175,0,0.01045259
176,0,0.011184442
177,0,0.011224931
178,0,0.008010759
179,0,0.0080504455
180,0,0.008576083
181,0,0.010366542
182,0,0.013693289
183,0,0.017329173
184,0,0.022043636
185,0,0.026018035
186,0,0.02706261
187,0,0.031221952
188,0,0.03732094
189,0,0.029019387
190,0,0.030747151
191,0,0.03373804
192,0,0.033622917
193,0,0.032345176
194,0,0.027025659
195,0,0.021053802
196,0,0.023543768
197,0,0.02234373
198,0,0.020540765
199,0,0.015093269
200,0,0.015857471
201,0,0.009370499
202,0,0.010093058
203,0,0.009335888
204,0,0.010040266
205,0,0.009602058
206,0,0.009107821
207,0,0.008954722
208,0,0.00932774
209,0,0.0136562195
210,0,0.017081162
211,0,0.017561771
212,0,0.016897002
213,0,0.016104363
214,0,0.015298767
215,0,0.015188551
216,0,0.013249378
217,0,0.013364752
218,0,0.014910691
219,0,0.014926641
220,0,0.01434245
221,0,0.013893642
222,0,0.013272339
223,0,0.0124669885
224,0,0.007360556
225,0,0.0069254357
226,0,0.0077519417
227,0,0.007619916
228,0,0.0075307754
229,0,0.00778357
230,0,0.008067897
231,0,0.008371288
232,0,0.008809751
233,0,0.0050813146
234,0,0.004934535
235,0,0.0048875716
236,0,0.004338813
237,0,0.0048913113
238,0,0.00499271
239,0,0.0049086837
240,0,0.004971998
241,0,0.005181325
242,0,0.0059772637
243,0,0.0059475214
244,0,0.006157108
245,0,0.0045032683
246,0,0.00489649
247,0,0.0064075757
248,0,0.006289682
249,0,0.009032505
250,0,0.007710386
251,0,0.0070316102
252,0,0.008288988
253,0,0.008705457
254,0,0.0055669015
255,0,0.0053766845
256,0,0.0058559095
257,0,0.005334095
258,0,0.0059843794
259,0,0.0054477374
260,0,0.0062657828
261,0,0.0074206167
262,0,0.007667543
263,0,0.011661565
264,0,0.008982813
265,0,0.008936004
266,0,0.010266214
267,0,0.014090338
268,0,0.019325176
269,0,0.026153188
270,0,0.03430046
271,0,0.038458522
272,0,0.046878632
273,0,0.046155244
274,0,0.04696195
275,0,0.04958467
276,0,0.04645632
277,0,0.05324957
278,0,0.03815836
279,0,0.036562607
280,0,0.03433926
281,0,0.033539336
282,0,0.03358083
283,0,0.034512214
284,0,0.04209112
285,0,0.06573178
286,0,0.100715965
287,0,0.14397122
288,0,0.19478816
289,0,0.21931814
290,0,0.22446916
291,0,0.21494928
292,0,0.2098886
293,0,0.22075674
294,0,0.23663609
295,0,0.38288876
296,0,0.48082083
297,0,0.5959029
298,0,0.6619547
299,0,0.5682849
300,0,0.5224559
301,0,0.54127896
302,0,0.5013842
303,0,0.46183813
304,0,0.4474012
305,0,0.4534155
306,0,0.4669637
307,0,0.48710212
308,0,0.4657549
309,0,0.4457756
310,0,0.054167572
311,0,0.057743322
312,0,0.051355995
313,0,0.055983137
314,0,0.072100386
315,0,0.08734987
316,0,0.10860342
317,0,0.057182465
318,0,0.053183
319,0,0.051750183
320,0,0.05490623
321,0,0.048479225
322,0,0.037653636
323,0,0.036627952
324,0,0.060054757
325,0,0.041438352
326,0,0.05801958
327,0,0.011663379
328,0,0.016369386
329,0,0.015635487
330,0,0.01705262
331,0,0.01529881
332,0,0.0126026785
333,0,0.010042466
334,0,0.011306406
335,0,0.0089122355
336,0,0.004568861
337,0,0.004007118
338,0,0.0045133433
339,0,0.005078991
340,0,0.0044450653
341,0,0.0039519486
342,0,0.003453566
343,0,0.002483902
344,0,0.002483902
345,0,0.002148694
346,0,0.0020943068
347,0,0.0019368699
348,0,0.0014920556
349,0,0.0016978604
350,0,0.0019433867
351,0,0.001682985
352,0,0.0016943095
353,0,0.0017109587
354,0,0.0016671553
355,0,0.0013262521
356,0,0.0013144577
357,0,0.0012681802
358,0,0.0011952616
359,0,0.0012563391
360,0,0.0013295682
361,0,0.0013137995
362,0,0.0014785778
363,0,0.001786953
364,0,0.0015608522
