A-B,92.0
A-D,92.0
A-D-A,184.0
A-I-L,147.0
A-L,98.5
A-M,92.0
A-N,103.5
A-R,84.0
A-S,109.71428571428571
B-A,92.0
B-E-R,199.0
B-Y,93.0
C-A,91.0
C-D,134.0
C-E,130.0
C-H,137.0
C-K,117.0
C-O,103.66666666666667
C-O-M,148.4
C-O-N,156.0
C-O-N-S-T,320.0
C-O-U-N-T,300.0
D-A,136.0
D-F,87.0
D-O,88.0
D-U,111.0
D-Y,140.0
E-A,92.0
E-B,116.0
E-L,84.5
E-N,108.0
E-O,104.0
E-Q,84.0
E-R,125.0
E-R-O,164.0
E-T,109.42857142857143
E-W,117.66666666666667
E-Y,61.0
F-E,116.0
F-I,115.0
F-I-L,183.0
F-O,85.5
G-E,131.0
G-I-N,174.66666666666666
G-I-N-E,232.0
G-N,112.0
H-E,97.33333333333333
H-E-R,188.0
H-E-R-O,236.0
H-I,96.0
H-O,85.5
I-C,91.0
I-E,200.0
I-L,97.75
I-L-E,160.0
I-L-T,152.0
I-M,93.4
I-M-E,177.2
I-N,100.80952380952381
I-N-D,192.0
I-N-E,166.0
I-N-G,139.0
I-N-S,184.0
I-N-T,176.0
I-O-N,154.2
I-P,88.0
I-S,91.0
I-T,93.83333333333333
I-V,63.0
I-V-E,200.0
J-A,112.83333333333333
J-E,98.0
K-E,100.28571428571429
K-L-S-D,220.0
L-A,117.0
L-E,104.6
L-I-M,244.0
L-S-D,208.0
L-T,97.5
M-A,110.33333333333333
M-A-S,164.0
M-E,110.9090909090909
M-P,124.0
N-D,98.33333333333333
N-E,104.0
N-E-W,216.0
N-G,85.0
N-O,102.0
N-O-D,200.0
N-O-R,187.5
N-S,91.16666666666667
N-S-E,212.0
N-S-T,164.0
N-T,120.16666666666667
O-C,96.0
O-D,110.5
O-I-N,200.0
O-I-N-T,268.0
O-M,87.75
O-M-E,151.5
O-N,103.53846153846153
O-N-S,132.0
O-N-S-T,228.0
O-R,111.0
O-S,113.0
O-T,114.0
O-U,114.38461538461539
O-U-N,255.0
O-U-N-T,230.0
O-W,98.66666666666667
P-A,118.0
P-E-R,196.0
R-O,105.5
R-O-M,156.66666666666666
R-O-U,146.0
S-A,108.0
S-C,120.0
S-D,132.0
S-D-F,175.0
S-E,134.66666666666666
S-H,108.0
S-I-N-E,228.0
S-O,140.5
S-P,100.0
S-T,113.33333333333333
S-U,115.0
T-A,148.0
T-E,121.375
T-H,109.33333333333333
T-I-M,138.0
T-I-M-E,247.5
T-I-O-N,209.0
T-O,102.625
T-R,64.0
T-U-N,151.0
U-E,90.0
U-L-T,160.0
U-N,86.33333333333333
U-N-D,156.0
U-N-T,164.66666666666666
U-S,76.0
U-S-E,228.0
V-A,124.0
V-E,138.0
V-I-M,176.0
W-O,101.0
W-O-U,156.0
W-Q,103.0
